,TMAX,TMIN,TAVG
2015-12-25,26.0,15.0,20.5
2015-12-26,19.0,3.0,11.0
2015-12-27,26.0,3.0,14.5
2015-12-28,26.0,0.0,13.0
2015-12-29,20.0,5.0,12.5
2015-12-30,26.0,2.0,14.0
2015-12-31,24.0,4.0,14.0
2016-01-01,35.0,6.0,20.5
2016-01-02,41.0,16.0,28.5
2016-01-03,46.0,15.0,30.5
2016-01-04,45.0,18.0,31.5
2016-01-05,45.0,23.0,34.0
2016-01-06,46.0,19.0,32.5
2016-01-07,35.0,28.0,31.5
2016-01-08,29.0,18.0,23.5
2016-01-09,28.0,6.0,17.0
2016-01-10,32.0,5.0,18.5
2016-01-11,40.0,12.0,26.0
2016-01-12,45.0,19.0,32.0
2016-01-13,51.0,22.0,36.5
2016-01-14,44.0,28.0,36.0
2016-01-15,33.0,19.0,26.0
2016-01-16,37.0,11.0,24.0
2016-01-17,38.0,12.0,25.0
2016-01-18,51.0,22.0,36.5
2016-01-19,40.0,26.0,33.0
2016-01-20,49.0,25.0,37.0
2016-01-21,40.0,21.0,30.5
2016-12-15,57.0,12.0,34.5
2016-12-16,50.0,4.0,27.0
2016-12-17,3.0,-15.0,-6.0
2016-12-18,17.0,-10.0,3.5
2016-12-19,43.0,4.0,23.5
2016-12-20,53.0,30.0,41.5
2016-12-21,53.0,26.0,39.5
2016-12-22,37.0,24.0,30.5
2016-12-23,49.0,24.0,36.5
2016-12-24,57.0,24.0,40.5
2016-12-25,46.0,20.0,33.0
2016-12-26,44.0,16.0,30.0
2016-12-27,53.0,13.0,33.0
2016-12-28,48.0,18.0,33.0
2016-12-29,47.0,17.0,32.0
2016-12-30,65.0,35.0,50.0
2016-12-31,41.0,13.0,27.0
2017-01-01,47.0,16.0,31.5
2017-01-02,52.0,15.0,33.5
2017-01-03,32.0,10.0,21.0
2017-01-04,12.0,4.0,8.0
2017-01-05,5.0,-2.0,1.5
2017-01-06,20.0,-7.0,6.5
2017-01-07,26.0,2.0,14.0
2017-01-08,48.0,12.0,30.0
2017-01-09,62.0,31.0,46.5
2017-01-10,52.0,32.0,42.0
2017-01-11,56.0,21.0,38.5
2017-01-12,40.0,18.0,29.0
2017-01-13,39.0,18.0,28.5
2017-01-14,42.0,22.0,32.0
2017-01-15,35.0,22.0,28.5
2017-01-16,35.0,27.0,31.0
2017-01-17,46.0,17.0,31.5
2017-01-18,52.0,21.0,36.5
2017-01-19,54.0,22.0,38.0
2017-01-20,45.0,26.0,35.5
2017-01-21,42.0,19.0,30.5
2017-12-15,63.0,22.0,42.5
2017-12-16,51.0,28.0,39.5
2017-12-17,41.0,22.0,31.5
2017-12-18,56.0,18.0,37.0
2017-12-19,55.0,21.0,38.0
2017-12-20,66.0,29.0,47.5
2017-12-21,37.0,4.0,20.5
2017-12-22,45.0,6.0,25.5
2017-12-23,41.0,7.0,24.0
2017-12-24,24.0,-4.0,10.0
2017-12-25,19.0,2.0,10.5
2017-12-26,10.0,4.0,7.0
2017-12-27,49.0,1.0,25.0
2017-12-28,46.0,25.0,35.5
2017-12-29,64.0,9.0,36.5
2017-12-30,39.0,8.0,23.5
2017-12-31,25.0,4.0,14.5
2018-01-01,28.0,3.0,15.5
2018-01-02,43.0,11.0,27.0
2018-01-03,53.0,17.0,35.0
2018-01-04,50.0,23.0,36.5
2018-01-05,56.0,25.0,40.5
2018-01-06,62.0,26.0,44.0
2018-01-07,48.0,26.0,37.0
